player,team,position,most_common_pos,notes
Jacob Farrow,ESS,GenD,HBFR,AUTO: review position
James Borlase,ADE,GenD,BPL,AUTO: review position
Jordan Boyd,CAR,GenD,HBFR,AUTO: review position
Josh Dolan,WBD,GenF,HFFR,AUTO: review position
Lachlan Gulbin,GCS,InsM,R,AUTO: review position
Mitch Zadow,PTA,GenF,HFFL,AUTO: review position
Mykelti Lefau,RIC,GenF,FPL,AUTO: review position
Ned Reeves,HAW,Ruck,RK,AUTO: review position
Nic Newman,CAR,GenD,BPR,AUTO: review position
Samson Ryan,RIC,Ruck,RK,AUTO: review position
Thomas Edwards,ESS,GenF,FPR,AUTO: review position
Wade Derksen,CAR,GenF,FPL,AUTO: review position
Zac Banch,NTH,GenF,FPR,AUTO: review position
Zac Taylor,ADE,GenF,HFFR,AUTO: review position
Brent Daniels,GWS,KeyF,CHF,AUTO: review position
Harvey Gallagher,WBD,Wing,WL,AUTO: review position
Jake Kolodjashnij,GEE,GenD,BPL,AUTO: review position
Liam Fawcett,RIC,GenF,FPL,AUTO: review position
Louis Emmett,WBD,Ruck,RK,AUTO: review position
Nicholas Madden,GWS,Ruck,RK,AUTO: review position
Oliver Hayes-Brown,RIC,Ruck,RK,AUTO: review position
Bailey Laurie,MEL,GenD,HBFL,AUTO: review position
Edward Allan,COL,Wing,WR,AUTO: review position
Matthew Jefferson,MEL,GenF,HFFR,AUTO: review position
Patrick Retschko,RIC,Wing,WR,AUTO: review position
Saad El-Hawli,ESS,Wing,WR,AUTO: review position
Sullivan Robey,ESS,KeyD,CHB,AUTO: review position
Will Lewis,WBD,Ruck,RK,AUTO: review position
William McCabe,HAW,GenF,HFFL,AUTO: review position
